Nama SKU;Jumlah Penjualan;Harga Penjualan;Estimasi GMV;Number Of Page
jam tangan matoa asli (kayu) paling murah ready banyak ...;4;1000000;4000000;5
jam tangan matoa rakai;13;1330000;17290000;5
PREMIUM MATOA RAKAI FULL MOON JAM TANGAN KAYU PRIA WANITA UNISEX -;0;1380000;0;5
Matoa Rakai Mini Full Moon Jam Tangan Kayu Pria/Wanita/Unisex - Maple;0;1543000;0;5
Jam tangan matoa rakai ebony;1;2000000;2000000;5
jam matoa rakai moon Bekas (dus+sparepart msh lengkap) NEGO!!;0;700000;0;5
jam tangan matoa rakai;13;1330000;17290000;5
Matoa Rakai Mini Full Moon Jam Tangan Kayu Pria/Wanita/Unisex - Maple;0;1543000;0;5
Jam tangan matoa rakai ebony;1;2000000;2000000;5
Matoa Singo Jam Tangan;0;750000;0;5
Jam tangan matoa tomia;0;450000;0;5
Bibit Tanaman Matoa cepat berbuah;750;9000;6750000;5
Bibit Matoa Pohon Matoa Bibit Buah Matoa Tanaman Matoa;750;13000;9750000;5
Bibit Tanaman Buah Matoa Unggul HASIL Cangkok/Sambung;40;32000;1280000;5
Bibit Tanaman Matoa Super Unggul Cepat Berbuah Buah Matoa;250;8500;2125000;5
Bibit Tanaman Buah Matoa Hasil Cangkok;100;35000;3500000;5
