Nama SKU;Jumlah Penjualan;Harga Penjualan;Estimasi GMV;Number Of Page
ROCKBROS Q5 Lampu Belakang Sepeda Sensor Rem Bike Taillight SmartBrake;500;163900;81950000;1
ROCKBROS PT-6005 Bike Tail Light - Lampu Belakang Seatpost Sepeda;3;37500;112500;1
ROCKBROS ZPWD-1 Lampu Belakang Sepeda Bike Clip Light Mini Lamp;250;18500;4625000;1
ROCKBROS RHL 1000 Lampu Depan Senter Sepeda Bicycle Front Light 1000LM;100;239000;23900000;1
Rockbros Lampu Depan Sepeda USB Rechargeable 2000mAh 400L YQ-QD400;100;109000;10900000;1
Rockbros Q1 Lampu Belakang Sepeda 6 Warna USB Rechargeable Tail Light;100;82000;8200000;1
Lampu Sepeda Belakang ROCKBROS Q1 Bicycle Tail Light RECHARGEABLE Ori;1;71500;71500;1
LAMPU SEPEDA BELAKANG ROCKBROS Q1 BIKE TAIL LIGHT RECHARGEABLE ORI;1;71500;71500;1
Rockbros Q1 Lampu Belakang Sepeda 6 Warna USB Rechargeable-Tail Light;1;82500;82500;1
lampu sepeda belakang rockbros q1;100;71500;7150000;1
ROCKBROS S202-1 Sarung Tangan Sepeda Anti UV Bike Gloves Full Finger;100;62500;6250000;1
ROCKBROS S202 Sarung Tangan Sepeda Non Padding Half Finger Gloves;250;57000;14250000;1
ROCKBROS S106 Sarung Tangan Sepeda Bike Glove Half Finger Pria Wanita;2;56000;112000;1
ROCKBROS S099 Sarung Tangan Sepeda - Bike Glove Half Finger Anti Slip;2;44500;89000;1
ROCKBROS S106 Bike Glove Half Finger – Sarung Tangan Sepeda 2 Warna;7;54800;383600;1
